name;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;code
Auvergne-Rhône-Alpes;6111379.0;6138303.0;6169056.0;6202588.0;6232501.0;6267442.0;6307503.0;6348443.0;6390373.0;6429674.0;6457905.0;6486414.0;6519946.0;6563254.0;6611182.0;6668168.0;6708765.0;6750446.0;6790892.0;6812295.0;6837322.0;6862646.0;6890849.0;6918402.0;6949608.0;7000751.0;7057821.0;7115944.0;7173919.0;7231833.0;7295515.0;7357284.0;7405206.0;7459092.0;7518004.0;7578078.0;7634223.0;7695264.0;7757595.0;7820966.0;7877698.0;7916889.0;7948287.0;7994459.0;8042936.0;8078652.0;8114361.0;8155762.0;8195542.0;8235923.0;84
Bourgogne-Franche-Comté;2632357.0;2638147.0;2643952.0;2651500.0;2656438.0;2664007.0;2673149.0;2681682.0;2686242.0;2691413.0;2696050.0;2696203.0;2699268.0;2702789.0;2705519.0;2705826.0;2710540.0;2715591.0;2720016.0;2722947.0;2727049.0;2728671.0;2729120.0;2729147.0;2728086.0;2734330.0;2742346.0;2749892.0;2756739.0;2762934.0;2771934.0;2779461.0;2792562.0;2802519.0;2810648.0;2813878.0;2816174.0;2816814.0;2819783.0;2820623.0;2820940.0;2818338.0;2811423.0;2807807.0;2805580.0;2801695.0;2800194.0;2797366.0;2793968.0;2791719.0;27
Bretagne;2596379.0;2611035.0;2625332.0;2641179.0;2656305.0;2672575.0;2690536.0;2708452.0;2719508.0;2728215.0;2738485.0;2748893.0;2759629.0;2771053.0;2782881.0;2794317.0;2803483.0;2811473.0;2822722.0;2830583.0;2840680.0;2853664.0;2870354.0;2888237.0;2904075.0;2927612.0;2954324.0;2981765.0;3009249.0;3037077.0;3066585.0;3094534.0;3120288.0;3149701.0;3175064.0;3199066.0;3217767.0;3237097.0;3258707.0;3276543.0;3293850.0;3306529.0;3318904.0;3335414.0;3354854.0;3373835.0;3394567.0;3414637.0;3432901.0;3453023.0;53
Centre-Val-de-Loire;2152234.0;2166650.0;2181522.0;2197814.0;2212207.0;2227750.0;2244879.0;2263124.0;2281023.0;2294472.0;2307725.0;2319839.0;2329632.0;2342323.0;2356450.0;2369808.0;2381407.0;2393043.0;2403487.0;2410394.0;2418315.0;2424326.0;2432034.0;2438205.0;2440295.0;2450121.0;2461778.0;2472978.0;2484288.0;2494279.0;2507246.0;2519567.0;2526919.0;2531588.0;2538590.0;2548065.0;2556835.0;2563586.0;2570548.0;2577435.0;2578592.0;2577866.0;2576252.0;2572853.0;2573180.0;2574863.0;2573303.0;2572916.0;2572735.0;2573295.0;24
Corse;226991.0;228610.0;230439.0;232355.0;233805.0;235733.0;237875.0;240175.0;241429.0;243326.0;244455.0;245371.0;245913.0;247175.0;248354.0;249645.0;251659.0;251698.0;253595.0;256977.0;258416.0;259168.0;259097.0;259466.0;260152.0;264539.0;269273.0;274093.0;279027.0;283972.0;289092.0;294118.0;299209.0;302966.0;305674.0;309693.0;314486.0;316257.0;320208.0;324212.0;327283.0;330455.0;334938.0;338554.0;340440.0;343701.0;347597.0;350253.0;352851.0;355528.0;9
Grand Est;5187204.0;5190390.0;5193959.0;5201007.0;5203674.0;5210823.0;5222368.0;5234734.0;5241644.0;5252301.0;5263949.0;5270157.0;5269476.0;5269323.0;5275272.0;5274064.0;5288277.0;5303373.0;5323379.0;5339076.0;5353077.0;5364143.0;5374950.0;5378869.0;5387509.0;5400871.0;5416747.0;5432715.0;5446445.0;5458878.0;5475270.0;5490092.0;5506616.0;5521452.0;5531118.0;5532530.0;5539035.0;5548955.0;5552388.0;5554645.0;5559051.0;5555186.0;5549586.0;5550389.0;5556219.0;5562651.0;5561287.0;5563889.0;5565282.0;5568711.0;44
Hauts-de-France;5595291.0;5603187.0;5609753.0;5620620.0;5626772.0;5637664.0;5654338.0;5673591.0;5704670.0;5704284.0;5706937.0;5718429.0;5731425.0;5737249.0;5751091.0;5770671.0;5783059.0;5797478.0;5812705.0;5822230.0;5832496.0;5843500.0;5849947.0;5851772.0;5855448.0;5860802.0;5869901.0;5879893.0;5887707.0;5893957.0;5904641.0;5912999.0;5922030.0;5931091.0;5944354.0;5953001.0;5960170.0;5973098.0;5987883.0;6006156.0;6009976.0;6006870.0;6003815.0;6004108.0;6004947.0;5997734.0;5995292.0;5990765.0;5986464.0;5983823.0;32
Île-de-France;9873663.0;9887478.0;9911232.0;9943234.0;9963889.0;9992276.0;10031668.0;10074616.0;10132003.0;10172490.0;10238860.0;10315690.0;10403009.0;10490557.0;10570749.0;10644665.0;10695556.0;10753276.0;10793414.0;10833223.0;10858975.0;10883848.0;10895427.0;10912622.0;10946012.0;11019991.0;11102824.0;11185563.0;11270074.0;11350290.0;11442143.0;11532398.0;11598866.0;11659260.0;11728240.0;11786234.0;11852851.0;11898502.0;11959807.0;12027565.0;12082144.0;12117132.0;12174880.0;12213447.0;12262544.0;12271794.0;12317279.0;12354286.0;12388388.0;12419961.0;11
Normandie;2902584.0;2915941.0;2928742.0;2943099.0;2955957.0;2971205.0;2989028.0;3006871.0;3025457.0;3043609.0;3058731.0;3072918.0;3082756.0;3099809.0;3113944.0;3126859.0;3139258.0;3151246.0;3162794.0;3171102.0;3179350.0;3185902.0;3192472.0;3198166.0;3202449.0;3211503.0;3221806.0;3231900.0;3240840.0;3249220.0;3259102.0;3267848.0;3278145.0;3293092.0;3303822.0;3310448.0;3315077.0;3322756.0;3328364.0;3335645.0;3339131.0;3335929.0;3330478.0;3327477.0;3325032.0;3325522.0;3327966.0;3327604.0;3326575.0;3327077.0;28
Nouvelle-Aquitaine;4821082.0;4837771.0;4856854.0;4877950.0;4895283.0;4915636.0;4939550.0;4962695.0;4985856.0;5001706.0;5021742.0;5041496.0;5055656.0;5075366.0;5094272.0;5114287.0;5132928.0;5150556.0;5167099.0;5177699.0;5191946.0;5203511.0;5218947.0;5236483.0;5257954.0;5296850.0;5340843.0;5386308.0;5431745.0;5476513.0;5526990.0;5574821.0;5627671.0;5671076.0;5708497.0;5745486.0;5773078.0;5808594.0;5844177.0;5879144.0;5911482.0;5935603.0;5956978.0;5979778.0;6010289.0;6033952.0;6069352.0;6098051.0;6125089.0;6154772.0;75
Occitanie;4060465.0;4082619.0;4108426.0;4135829.0;4159166.0;4186069.0;4217113.0;4248689.0;4293279.0;4333975.0;4375084.0;4395485.0;4427505.0;4462366.0;4501382.0;4546249.0;4580630.0;4615465.0;4651399.0;4676452.0;4703840.0;4736347.0;4769512.0;4807490.0;4842680.0;4900326.0;4962851.0;5030703.0;5099077.0;5167552.0;5240791.0;5310966.0;5371117.0;5419946.0;5473597.0;5518106.0;5573466.0;5626858.0;5683878.0;5730753.0;5774185.0;5808435.0;5845102.0;5885496.0;5933185.0;5973969.0;6022176.0;6067101.0;6110099.0;6154729.0;76
Pays de la Loire;2766891.0;2789000.0;2810229.0;2833260.0;2855060.0;2878179.0;2902849.0;2927940.0;2951326.0;2970886.0;2986459.0;3001676.0;3019731.0;3026970.0;3043085.0;3055197.0;3071600.0;3090225.0;3110784.0;3128438.0;3145757.0;3164039.0;3182305.0;3200459.0;3219960.0;3248994.0;3281679.0;3314649.0;3347675.0;3379784.0;3415391.0;3450413.0;3482594.0;3510170.0;3539048.0;3571495.0;3601113.0;3632614.0;3660852.0;3690833.0;3718512.0;3737632.0;3757600.0;3781423.0;3806461.0;3832120.0;3853999.0;3878839.0;3902115.0;3926389.0;52
Provence-Alpes-Côte d'Azur;3673480.0;3709207.0;3749509.0;3791131.0;3830016.0;3872028.0;3917774.0;3963988.0;3997174.0;4028503.0;4060921.0;4098667.0;4137834.0;4177908.0;4215629.0;4257244.0;4293499.0;4326663.0;4356875.0;4383592.0;4405312.0;4426194.0;4451004.0;4479644.0;4502385.0;4541508.0;4584379.0;4629496.0;4675056.0;4719132.0;4768564.0;4815232.0;4864015.0;4882913.0;4889053.0;4899155.0;4916069.0;4935576.0;4953675.0;4983438.0;5007977.0;5021928.0;5030890.0;5052832.0;5081101.0;5098666.0;5127840.0;5150362.0;5173952.0;5198011.0;93
France métropolitaine;52600000.0;52798338.0;53019005.0;53271566.0;53481073.0;53731387.0;54028630.0;54335000.0;54649984.0;54894854.0;55157303.0;55411238.0;55681780.0;55966142.0;56269810.0;56577000.0;56840661.0;57110533.0;57369161.0;57565008.0;57752535.0;57935959.0;58116018.0;58298962.0;58496613.0;58858198.0;59266572.0;59685899.0;60101841.0;60505421.0;60963264.0;61399733.0;61795238.0;62134866.0;62465709.0;62765235.0;63070344.0;63375971.0;63697865.0;64027958.0;64300821.0;64468792.0;64639133.0;64844037.0;65096768.0;65269154.0;65505213.0;65721831.0;65925961.0;66142961.0;0
